Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
17/02/2016,"124 The Links, Elm Park, Merrion Road",Dublin,,"€217,663.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
06/05/2016,"HYMANY, SPUNKAWE, WATERVILLE",Kerry,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.83333,-10.16667
23/05/2016,"2 ALTA TERRACE, MONKSTOWN, CORK",Cork,,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.85056,-8.34139
12/10/2016,"24 ROCKDALE, CAUSEWAY RD, BUNCRANA",Donegal,,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,,55.13333,-7.45
13/12/2016,"10 CLUAIN GLAS, THURLES, CO TIPPERARY",Tipperary,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.6881155,-7.8150924
24/02/2016,"BREANLETTER, KEADUE, BOYLE",Roscommon,,"€27,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.96667,-8.3
07/07/2016,"25 REUBEN AVE, DUBLIN 8, DUBLIN",Dublin,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3360464,-6.29327
04/02/2016,"OAKVILLE, ARDEE, CO LOUTH",Louth,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.85972,-6.54056
26/01/2016,"DRUMFIN COTTAGE, DRUMFIN, SLIGO",Sligo,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.12917,-8.44194
07/11/2016,"28 Cluain Uillin, Miltown Malbey",Clare,,"€83,700.44",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.81556,-8.96667
25/03/2016,"No 1 Balsaw Drive, Kilberry, NAVAN",Meath,,"€302,978.85",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.65278,-6.68139
08/04/2016,"1 SLOAN VILLAS, GLENARD AVENUE, BRAY",Wicklow,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.20278,-6.09833
22/06/2016,"63 CILL FOIREANN, JOHNSTOWN, MEATH",Meath,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.40722,-6.83889
21/12/2016,"APT 1, 10/10A ST AGNES RD, CRUMLIN",Dublin,,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3202155,-6.3162471
30/11/2016,"CALLSWAY, UPPER KEELDRUM, GORTAHORK",Donegal,,"€120,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,55.11667,-8.13333
15/09/2016,"ARDLINE, BALLYFARNON, BOYLE",Sligo,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
15/03/2016,"ISAACSTOWN, RATHMOLYON, MEATH",Meath,,"€76,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.4772926,-6.7831085
27/05/2016,"55 BRUACH TAILLTE, NENAGH, TIPPERARY",Tipperary,,"€79,237.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
05/04/2016,"NOLAS, DRUMCARBIT, MALIN",Donegal,,"€42,500.00",No,No,Second-Hand Dwelling house /Apartment,,55.3,-7.26667
09/11/2016,"97 UPPER TREES ROAD, MOUNT MERRION, CO DUBLIN",Dublin,,"€683,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.292023,-6.2145085
25/07/2016,"31 GORT NA MBLATH, TULLA RD, ENNIS",Clare,,"€267,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84361,-8.98639
27/09/2016,"7 CHANCERY PARK CLOSE, TULLAMORE, OFFALY",Offaly,,"€110,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.2663435,-7.4695426
16/09/2016,"CREEVY, LISACUL, ROSCOMMON",Roscommon,,"€27,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.8623266,-8.6175043
29/04/2016,"9 BIRD AVE, CLONSKEAGH, DUBLIN 14",Dublin,,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3050307,-6.2450965
28/10/2016,"CHURCH ST, BANAGHER, OFFALY",Offaly,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.1863199,-7.9812057
10/11/2016,"BALLYSTEEN, ASKEATON, LIMERICK",Limerick,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.6468456,-8.9518594
15/09/2016,"1 KILLABEG, COOLKENNO, TULLOW",Carlow,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.80028,-6.73694
17/02/2016,"157 The Links, Elm Park, Merrion Road",Dublin,,"€111,008.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
08/04/2016,"66 Cill Beg Manor, Stradbally",Laois,,"€141,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.0113881,-7.1353062
23/11/2016,"29 CYPRIAN AVE RHEBAN MANOR ATHY, KILDARE",Kildare,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.9969692,-6.9766996
29/11/2016,"27 PAIRC AN OIR, RATHCORMAC, CORK",Cork,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.07694,-8.28194
12/05/2016,"Unit 47 An Riasc, Farnham Drive",Dublin,,"€295,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,53.33306,-6.24889
03/06/2016,"47 SHANNON GROVE, CARRICK ON SHANNON, LEITRIM",Leitrim,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.9546811,-8.0945303
19/09/2016,"103, Carraigweir, Tuam",Galway,,"€125,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.51667,-8.85
02/11/2016,"42 LEIM AN BHRAIDAIN, GORT RD, ENNIS",Clare,,"€72,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84361,-8.98639
