Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
13/12/2024,"2 MANOR COURT, RIVERSTOWN, GLANMIRE",Cork,T45YA26,"€231,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.91583,-8.39972
19/06/2024,"5 FOXBOROUGH PARK, LUCAN, DUBLIN",Dublin,K78C953,"€443,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3403885,-6.4256104
29/02/2024,"13 FOSTERSTOWN PLACE, FOSTERSTOWN NORTH, SWORDS",Dublin,K67H6Y6,"€428,175.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
16/07/2024,"PERCIVAL STREET, KANTURK, CO. CORK",Cork,P51YE22,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.1766196,-8.9095495
14/05/2024,"21 FOTTRELL HOUSE, DRYNAM VIEW, KINSEALY",Dublin,K67EY43,"€311,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
17/06/2024,"BARNAGEERA, SKERRIES, DUBLIN",Dublin,K34T297,"€850,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
12/08/2024,"2 ALBERT RD LOWER, SANDYCOVE, GLEANGEARY",Dublin,A96K2H7,"€1,450,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
23/07/2024,"CORLEA, LISDOONAN, CARRICKMACROSS",Monaghan,,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.97278,-6.71889
19/03/2024,"61 DURSEY ROW, WATERVILLE, BLANCHARDSTOWN DUBLIN 15",Dublin,D15YV56,"€317,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3943214,-6.3703714
23/09/2024,"3 ELM PARK HOUSE, GRANGE WOOD, RATHFARNHAM DUBLIN 16",Dublin,D16FH39,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
29/05/2024,"5 ORMONDE COURT, CLONMEL, TIPPERARY",Tipperary,E91YT32,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.3601616,-7.6999677
16/04/2024,"APT 4, NICHOLAS COURT, NICHOLAS ST",Louth,A91PX49,"€149,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.94861,-6.54139
25/10/2024,"27 MALAHIDE RD, CLONTARF, DUBLIN 3",Dublin,D03EE09,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3663758,-6.2288603
22/04/2024,"37 CNOC NA GREINE VIEW, KILCULLEN, KILDARE",Kildare,R56EC53,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.13028,-6.74444
01/02/2024,"LOUGH GILL LODGE, STRADBROOK, CORNAGEEH",Sligo,F91NV02,"€380,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
01/11/2024,"Apartment 28 Danehill, Phoenix Park Avenue, Phoenix Park Racecourse",Dublin,,"€427,312.77",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
14/10/2024,"2 BROOKFIELD CLOSE, RIVERSTOWN, COUNTY SLIGO",Sligo,F52VK74,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.1300777,-8.3946754
18/10/2024,"CHURCH COTTAGE, KINSALE, CO CORK",Cork,P17K242,"€398,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.7075,-8.53056
26/07/2024,"CAPPENRAHEN, CRAUGHWELL, GALWAY",Galway,H91YXF3,"€407,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.22611,-8.73306
13/09/2024,"APT 203, HARBOUR COURT, SLIGO",Sligo,F91K336,"€168,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
23/01/2024,"16 NEPHIN HALL, HOPKINS RD, CASTLEBAR",Mayo,F23X293,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.85,-9.3
06/02/2024,"APARTMENT 7/8 MAIN STREET, TIPPERARY, CO TIPPERAR",Tipperary,E34T257,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
12/12/2024,"8 BLACKFORT MANOR, NEWPORT RD, CASTLEBAR",Mayo,F23WR90,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.85,-9.3
02/10/2024,"WILD HAVEN, OLDCOURT, ADAMSTOWN",Wexford,,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.39417,-6.71694
24/04/2024,"93 AN GLEANN RUA, KILLYLASTIN, LETTERKENNY",Donegal,F92FN7V,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
31/10/2024,"12 ST PATRICK'S PARK, CARRICK ON SHANNON, CO LEITRIM",Leitrim,N41Y447,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.94694,-8.09
02/10/2024,"WHITESTOWN, GREENORE, LOUTH",Louth,A91VC44,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.9957137,-6.1234332
20/11/2024,"13 PARSON COURT, MAYNOOTH, KILDARE",Kildare,W23K757,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3771675,-6.5948632
20/12/2024,"1 RIVERCHAPEL DOWNS, RIVERCHAPEL WOOD, BALLINTRAY UPPER",Wexford,Y25Y791,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.5,-6.66667
15/11/2024,"99 CARDINAL COURT, WILTON, CORK",Cork,T12RK7C,"€401,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.8779065,-8.5110789
18/07/2024,"21 NEWLANDS MANOR DRIVE, CLONDALKIN, DUBLIN 22",Dublin,D22TY48,"€281,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3079675,-6.4071867
26/03/2024,"21 SEASON PARK, NEWTOWNMOUNTKENNEDY, WICKLOW",Wicklow,A63W573,"€337,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.0949547,-6.1139961
16/05/2024,"ALTMORE HOUSE, CLONES, MONAGHAN",Monaghan,H23X958,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.18333,-7.23333
16/04/2024,"154 CARASH COURT, NAAS, KILDARE",Kildare,W91E3ED,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.21583,-6.66694
24/06/2024,"7 PINE VALLEY AVE, RATHFARNHAM, DUBLIN 16",Dublin,D16VY15,"€825,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
06/12/2024,"MAIN ROAD, CAHERSLEE, TRALEE",Kerry,V92F59T,"€417,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.27042,-9.70264
20/09/2024,"ST MARTINS, ABBEY ST, BALLINA",Mayo,F26X9H0,"€147,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.11667,-9.16667
24/05/2024,"24 BANTRY ROAD, DRUMCONDRA, DUBLIN 9",Dublin,D09E640,"€1,000,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.376643,-6.2589009
05/07/2024,"82 DOMINICS PLACE, WATERFORD CITY, WATERFORD",Waterford,X91NR04,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.25833,-7.11194
20/12/2024,"18 Pairc Na Blathanna, Hayestown, Rush",Dublin,,"€321,585.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
31/01/2024,"61 KNOCKFREE AVE, FAIRHILL, CORK",Cork,T23TYE1,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
01/07/2024,"Apt 201  106 Goatstown Road, Goatstown, Dublin 14",Dublin,,"€594,713.66",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
30/04/2024,"CLOUGHMACSIMON, ARDAN NA NOGLACH, BANDON",Cork,P72PX98,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.74694,-8.7425
27/08/2024,"6 LARCHFIELD, DUNDRUM, DUBLIN 14",Dublin,D14PR90,"€200,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.2988095,-6.2351176
26/01/2024,"82 LADYS CROSS, THE MILES, CLONAKILTY",Cork,P85ED99,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.62306,-8.87056
17/12/2024,"ROCKHILL, PORTNABLAGH, CO DONEGAL",Donegal,F92D2X9,"€495,000.00",No,No,Second-Hand Dwelling house /Apartment,,55.17806,-7.92944
25/04/2024,"24 Old Waterford Road, Strandhill, Tramore",Waterford,,"€340,000.00",No,Yes,New Dwelling house /Apartment,,52.16235,-7.15244
19/02/2024,"BUKIT TIMAH, CHRISTIANSTOWN, NEWBRIDGE",Kildare,W12RP23,"€366,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.18194,-6.79667
20/09/2024,"105 ASHFIELD AVENUE, RIDGEWOOD, SWORDS",Dublin,K67E0C3,"€535,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
30/10/2024,"74 ADAMSTOWN AVE, ADAMSTOWN, LUCAN",Dublin,K78WW55,"€293,423.00",No,No,Second-Hand Dwelling house /Apartment,,53.3376245,-6.4621044
29/08/2024,"31 Westwood, Golf Links Road, Ennis",Clare,,"€355,000.00",No,Yes,New Dwelling house /Apartment,,52.84361,-8.98639
05/07/2024,"18 CARECHOICE, CLOGHEEN, CLONAKILTY",Cork,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.62306,-8.87056
08/11/2024,"43 Ballynafagh Springs, Coolearagh, Coill Dubh",Kildare,,"€321,585.90",No,Yes,New Dwelling house /Apartment,,53.29308,-6.81843
23/09/2024,"56 THOMOND HALL, BALLYMAHON, LONGFORD",Longford,,"€157,500.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.5579975,-7.7725221
09/12/2024,"1 AIRPARK COURT STOCKING LANE, RATHFARNHAM, DUBLIN",Dublin,D16P020,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
04/12/2024,"179 Millquarter, Knockmullen, Gorey",Wexford,,"€242,290.74",No,Yes,New Dwelling house /Apartment,,52.67472,-6.2925
25/10/2024,"28 BULLOCK PARK, GREEN RD, CARLOW TOWN",Carlow,R93X6F4,"€336,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
