Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
16/10/2018,"11 The Green, Elsinore, Naas",Kildare,,"€251,101.32",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.21583,-6.66694
01/11/2018,"CLAHANE, BALLYDUFF, TRALEE",Kerry,,"€64,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.27042,-9.70264
09/07/2018,"29 CROSS ST, NEW ROSS, WEXFORD",Wexford,,"€77,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.3921209,-6.9428791
12/03/2018,"'Glandore', 38B Temple Road, Dartry",Dublin,,"€1,497,797.36",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.33306,-6.24889
31/08/2018,"7 MOUNT EUSTACE PARK, TYRRELSTOWN, DUBLIN 15",Dublin,,"€268,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4207145,-6.3892503
17/09/2018,"2 GLENDARA CLOSE, KILL, KILDARE",Kildare,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.25139,-6.59167
04/12/2018,"9 CEANANN VIEW, LETTERKENNY, CO. DONEGAL",Donegal,,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
13/02/2018,"9 Morristown Court, The Paddocks, Morristownbiller",Kildare,,"€270,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.15611,-6.91444
12/01/2018,"65 CLOCHOG, ORANMORE, GALWAY",Galway,,"€328,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.26833,-8.92
17/07/2018,"12 GRANGE WALK, STAMULLEN, GORMANSTOWN MEATH",Meath,,"€204,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.64056,-6.23778
01/06/2018,"51 SARAN WOOD, BRAY, CO WICKLOW",Wicklow,,"€306,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.1833635,-6.1279526
17/04/2018,"21 GLEN RI, BONNICONLON RD, BALLINA",Mayo,,"€176,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.11667,-9.16667
09/11/2018,"15 PASSAGE RD, WATERFORD, WATERFORD",Waterford,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2381538,-7.0101435
22/03/2018,"48 The Close Citywest Village, Citywest Dublin 24",Dublin,,"€279,735.68",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.286803,-6.4207239
12/09/2018,"64 WOODFIELD, SCHOLARSTOWN RD, RATHFARNHAM DUBLIN 16",Dublin,,"€120,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
14/06/2018,"13 Ceamach Close, Donacarney, County Meath",Meath,,"€213,734.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.71333,-6.27917
31/08/2018,"45 Castleguard Manor, Ardee",Louth,,"€230,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.85972,-6.54056
24/01/2018,"49 Marrsfield Avenue, Belltree, Clongriffin",Dublin,,"€295,154.18",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
11/05/2018,"CULLEENS, KILLALA RD, BALLINA",Mayo,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.11667,-9.16667
29/11/2018,"BALLARDIN, DUNDERRY, NAVAN",Meath,,"€124,708.00",No,No,Second-Hand Dwelling house /Apartment,,53.65278,-6.68139
25/07/2018,"APT E7, BLOCK E, SPANISH COVE",Clare,,"€74,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.81556,-8.96667
03/04/2018,"97 Maoilin, ballymoneen road, galway",Galway,,"€286,344.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.27194,-9.04889
14/09/2018,"1 BERKLEY MEWS, LANSDOWNE LANE, DUBLIN 4",Dublin,,"€860,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
29/03/2018,"BEDDGELERT LODGE, KILMURRAY, GOREY",Wexford,,"€415,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.67472,-6.2925
15/11/2018,"18 PATRICIAN AVE, NAAS, KILDARE",Kildare,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2121126,-6.6651503
21/12/2018,"72 CÚIRT NA HABHAINN, LAKEVIEW, CLAREGALWAY",Galway,,"€96,916.25",Yes,Yes,New Dwelling house /Apartment,,53.33861,-8.945
23/11/2018,"20 CHURCH FIELDS, ASHBOURNE, MEATH",Meath,,"€408,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.51163,-6.39821
06/04/2018,"5 Garville Drive, Garville Avenue, Rathgar",Dublin,,"€1,048,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
14/12/2018,"23 WILLOWBROOK, TEMPLARS HALL, WATERFORD",Waterford,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2388479,-7.1351621
31/01/2018,"64 KINCORA RD, CLONTARF, DUBLIN 3",Dublin,,"€902,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.3625075,-6.1970155
12/10/2018,"91 SANDYVALE LAWN, HEADFORD RD, GALWAY",Galway,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
31/01/2018,"29 FINN EBER FORT, FINGLAS DUBLIN 11, DUBLIN",Dublin,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3861659,-6.2986329
24/07/2018,"GOGGINSHILL, BALLINHASSIG, CORK",Cork,,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.81417,-8.53694
27/04/2018,"31A CORDUFF GROVE, BLANCHARDSTOWN, CO. DUBLIN",Dublin,,"€96,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.4008139,-6.3786801
07/03/2018,"23 GALWAY BAY APARTMENTS, SALTHILL, CO GALWAY",Galway,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
12/12/2018,"CLONMARTIN LEENAN, CLONMANY, DONEGAL",Donegal,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,,55.26667,-7.41667
21/09/2018,"22 SESSIAGH VIEW, BALLYBOFEY, DONEGAL",Donegal,,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.8,-7.78333
23/11/2018,"45 SARSFIELD TERRACE, YOUGHAL, CORK",Cork,,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.951671,-7.8522876
24/01/2018,"95 ashfield avenue, swords, co dublin",Dublin,,"€325,991.19",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.4506633,-6.2511044
30/10/2018,"17 larkfield place, clay farm, leopardstown",Dublin,,"€480,176.21",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.33306,-6.24889
16/08/2018,"102 CEDAR BROOK WALK, CHERRY ORCHARD, DUBLIN 10",Dublin,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.336806,-6.3803743
29/03/2018,"18 Shackleton Way, Shackleton Park, Lucan",Dublin,,"€281,938.33",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.3481648,-6.4693021
05/12/2018,"BALLINALASSA, BELCARRA, CO MAYO",Mayo,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.8,-9.21667
11/06/2018,"24 Park Row, Clongriffin, Dublin 13",Dublin,,"€330,418.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.4049457,-6.1572091
20/12/2018,"DERRYNASEERA, MOUNTRATH, PORTLAOISE",Laois,,"€198,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.03441,-7.29979
08/11/2018,"CROWENSTOWN, DELVIN, WESTMEATH",Westmeath,,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.61056,-7.0925
29/08/2018,"19 SHOREWOOD, BALLINAKILL DOWNS, WATERFORD",Waterford,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2425479,-7.0631203
23/07/2018,"52 PARK VIEW, SWORDS, DUBLIN",Dublin,,"€331,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
14/02/2018,"Apt 30 Greenbank House, Cualanor, Upper Glenageary Road",Dublin,,"€286,344.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
20/12/2018,"3 The Dale, Broadmeadow Vale, Ratoath",Meath,,"€295,154.00",No,Yes,New Dwelling house /Apartment,,53.50806,-6.4625
