Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
22/12/2016,"LISMIHILL, KILLIMOR, BALLINASLOE",Galway,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3275,-8.21944
30/06/2016,"BARTON HOUSE, OLDTOWN, LETTERKENNY",Donegal,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
20/12/2016,"Apartment 84, Hampton Wood Avenue, Hampton Wood",Dublin,,"€175,000.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
24/05/2016,"8 THE BELFRY, COCK HILL, CHURCH VIEW",Cavan,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.99083,-7.36056
22/08/2016,"8 THE PLACE, NEWCASTLE MANOR, NEWCASTLE",Dublin,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2961007,-6.492
10/10/2016,"APARTMENT 3, THE CASTLE INN, GREENCASTLE",Donegal,,"€44,166.67",No,No,Second-Hand Dwelling house /Apartment,,55.2,-6.98333
11/07/2016,"LENABOY, ARDAGH, LONGFORD",Longford,,"€83,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.6511882,-7.64283
27/09/2016,"44 CASTLE AVE, CLONTARF, DUBLIN 3",Dublin,,"€2,100,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3632673,-6.2054158
23/03/2016,"33 MEADOW PARK, PULLAMORE, DUBLIN RD",Cavan,,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.99083,-7.36056
02/06/2016,"14 GORT AN DUIN, ORANHILL, ORANMORE",Galway,,"€245,816.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.26833,-8.92
20/04/2016,"15 THE HOLLOWS, NEWCASTLE RD, LUCAN",Dublin,,"€147,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
22/04/2016,"23 EARL COURT, LOUGH RYNN ESTATE, MOHILL",Leitrim,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.91667,-7.86667
03/08/2016,"15 COWPER HALL, MOUNT ST ANNES, MILLOTWN DUBLIN 6",Dublin,,"€693,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/09/2016,"ST COLUMBAS HOUSE, TAMNEY FANAD, LETTERKENNY",Donegal,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
26/08/2016,"18 A ST FINTANS VILLAS, DEANSGRANGE, DUBLIN",Dublin,,"€437,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
05/10/2016,"AMELIE, CINN UISCE, CLAREGALWAY",Galway,,"€386,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33861,-8.945
05/12/2016,"126 COLLINS PARK, WHITEHALL, DUBLIN 9",Dublin,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/11/2016,"110 CARRIGWOOD, BALLYCULLEN DR, FIRHOUSE DUBLIN 24",Dublin,,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
09/08/2016,"KILNAGARBET, STRADONE, CAVAN",Cavan,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.98333,-7.23333
26/08/2016,"4 IONA VILLAS, GLASNEVIN, DUBLIN 9",Dublin,,"€444,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3681173,-6.2662944
26/04/2016,"90 DUN NA HINSE, LAHINCH ROAD, ENNIS",Clare,,"€63,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84361,-8.98639
01/07/2016,"40 CLUAIN ARD, BALLYVALLEY, TRALEE",Kerry,,"€149,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.27042,-9.70264
16/08/2016,"APT 44, MANOR HALL, MOUNT BROWNE DUBLIN 8",Dublin,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
19/12/2016,"91 ASHLEY HALL, ST EDMUND'S, PALMERSTOWN",Dublin,,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
27/04/2016,"11 ATHLUMNEY VILLAS, RANELAGH, DUBLIN",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
11/11/2016,"CARRIGFOYLE, MONKS MEADOW, COAST ROAD",Dublin,,"€1,000,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
