Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
22/02/2023,"94 BRIARFIELD GROVE, KILBARRACK, DUBLIN 5",Dublin,D05FK52,"€276,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.3877833,-6.1582855
01/03/2023,"19 VERDEMONT, BLANCHSTOWN, DUBLIN 15",Dublin,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
03/11/2023,"235 CARRINGTON PARK, NORTH WOOD, SANTRY DUBLIN 9",Dublin,D09CY82,"€330,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/12/2023,"36 GRACEPARK MANOR, DRUMCONDRA, DUBLIN 9",Dublin,D09NX00,"€3,650,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.3769454,-6.2430821
17/08/2023,"18 INFIRMARY RD, DUBLIN 7, DUBLIN",Dublin,D07WE2Y,"€495,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3509752,-6.296689
18/05/2023,"9 TOWN HEIGHTS, ARD NA BHAILE, BUTTEVANT",Cork,P51K5K6,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.23333,-8.66667
18/01/2023,"MASSREAGH, KILMACRENNAN, LETTERKENNY",Donegal,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
08/11/2023,"APARTMENT 37 ALEXANDER WALK, ADELAIDE SQUARE, WHITEFRIAR STREET",Dublin,D08F5A0,"€480,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
15/02/2023,"170 BELMONT, SOUTHERN CROSS RD BRAY, WICKLOW",Wicklow,A98KP89,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.20278,-6.09833
19/01/2023,"7 ST FRANCIS ROW, CASHEL, TIPPERARY",Tipperary,E25PY92,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
01/12/2023,"65 CHANNEL RD, RUSH, DUBLIN",Dublin,K56VH48,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5193434,-6.1081699
20/11/2023,"40 DROMORE PARK, KILLYGORDON, CO DONEGAL",Donegal,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,,,
17/11/2023,"56 THE WEAVERS, MEATH ST, DUBLIN 8",Dublin,D08KT26,"€234,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
08/08/2023,"2 GEORGES QUAY, APT 12, DUBLIN 2",Dublin,D02FE02,"€371,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3472695,-6.2556555
05/01/2023,"7 DUN ORGA, CLOYNE, CORK",Cork,P25T026,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.8634691,-8.1247118
07/07/2023,"23 The Park, Baker Hall, Academy Street",Meath,,"€348,017.62",No,Yes,New Dwelling house /Apartment,,53.66667,-6.66667
18/08/2023,"49 DAISYHILL MANOR, BALLYCONNELL, CAVAN",Cavan,H14R296,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.1097715,-7.5777363
29/05/2023,"81 CHARLESLAND COURT, THE GLEN GREYSTONES, WICKLOW",Wicklow,A63H1K1,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.14083,-6.06306
11/10/2023,"45 BALLYNEETY RD, BALLYFERMOT, DUBLIN 10",Dublin,D10CF25,"€282,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
07/07/2023,"3 COIS FARRAIGE, DUNLICKEY RD, KILKEE",Clare,V15HC61,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.67917,-9.64417
06/09/2023,"15 BARNWELL LAWN, HANSFIELD, DUBLIN 15",Dublin,D15V577,"€577,777.00",No,No,Second-Hand Dwelling house /Apartment,,53.3913998,-6.4403047
27/02/2023,"212 BEECHWOOD COURT, STILLORGAN, DUBLIN",Dublin,A94N2T8,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2823898,-6.1903922
15/06/2023,"17 CHERRYVALE, BAY ESTATE, DUNDALK",Louth,A91H5W5,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.9947167,-6.3780028
24/10/2023,"41 ARDLEIGH, BRACKEN GROVE, OLD TRAMORE ROAD",Waterford,X91KPH9,"€64,628.15",Yes,No,Second-Hand Dwelling house /Apartment,,52.25833,-7.11194
26/01/2023,"108 Westpoint, The Mullans, Donegal Town",Donegal,,"€265,000.00",No,Yes,New Dwelling house /Apartment,,54.91667,-8.0
