Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
28/10/2016,"2 CORRYMORE VILLAGE, ACHILL, MAYO",Mayo,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.93111,-9.915
26/09/2016,"30 BEARNA DEARA, KILDORRERY, CORK",Cork,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.24611,-8.42722
08/11/2016,"DERRERY, BALLAGH, CO LIMERICK",Limerick,,"€41,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.37389,-9.07806
11/02/2016,"26 Nash St, Inchicore, Dublin 8",Dublin,,"€188,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3361096,-6.3305339
22/07/2016,"36 DUN SAITHNE VIEW, FLEMINGTON LANE, BALBRIGGAN",Dublin,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
19/02/2016,"10 MORRISSEY AVE, ENNIS, CO CLARE",Clare,,"€117,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.845049,-8.9967646
26/01/2016,"13 The Bramble Hill, Castletreasure, Douglas",Cork,,"€232,500.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,51.87444,-8.435
29/08/2016,"28 TEMPLE JARLATH COURT, HIGH ST, TUAM",Galway,,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.51667,-8.85
10/05/2016,"61 RIAN LUACHRA, CASTLE PARK RD, GALWAY",Galway,,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
23/11/2016,"Apt 24 Station Court, Gorey",Wexford,,"€73,666.12",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.67472,-6.2925
12/05/2016,"72 SHANID RD, HAROLDS CROSS, DUBLIN 6W",Dublin,,"€810,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/10/2016,"12 CEDARFIELD, DROGHEDA, LOUTH",Louth,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7060779,-6.3757155
29/02/2016,"GRANGE, FETHARD ON SEA, CO WEXFORD",Wexford,,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2060566,-6.8227869
