Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
17/04/2023,"4 BARR NA TRIMOIGE, KILKELLY, CO MAYO",Mayo,F35NV96,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.86667,-8.85
20/12/2023,"81 COUNTRY MEADOWS, CLOONTHUE, TUAM",Galway,H54W209,"€186,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.51667,-8.85
08/09/2023,"8 THE RISE, GREEN VALLEY, DONNYBROOK",Cork,T12XTR2,"€327,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
30/06/2023,"58 HAZELWOOD, BRAY, WICKLOW",Wicklow,A98XT18,"€106,037.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.2028883,-6.127167
13/12/2023,"28 NEWTOWN MANOR, BALLINDINE",Mayo,,"€300,675.00",No,Yes,New Dwelling house /Apartment,,53.6667879,-8.9665386
13/06/2023,"4 Cois Glaisin Park, Navan",Meath,,"€375,000.00",No,Yes,New Dwelling house /Apartment,,53.65278,-6.68139
09/03/2023,"11 Avonmore View, Rathdrum",Wicklow,,"€218,816.00",Yes,Yes,New Dwelling house /Apartment,,52.9350467,-6.2441021
18/05/2023,"13 ROWAN PARK, KILCARBERY GRANGE",Dublin,,"€370,044.05",No,Yes,New Dwelling house /Apartment,,53.3164775,-6.4242946
15/12/2023,"94 Farranshock Park, Rathgowan, Mullingar",Westmeath,,"€315,000.00",Yes,Yes,New Dwelling house /Apartment,,53.53333,-7.35
07/11/2023,"26 Glashaboy Heights, Sallybrook, Glanmire",Cork,,"€325,991.00",No,Yes,New Dwelling house /Apartment,,51.91583,-8.39972
12/04/2023,"33 The Grove, Baker Hall, Navan",Meath,,"€268,722.47",No,Yes,New Dwelling house /Apartment,,53.6446761,-6.6787728
20/12/2023,"26 Abbeyfields, Arden Road, Tullamore",Offaly,,"€279,567.00",Yes,Yes,New Dwelling house /Apartment,,53.27389,-7.48889
21/03/2023,"Folio DN210111F and, Folio DN247716F, Dublin.",Dublin,,"€27,168,238.06",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
10/05/2023,"26 Oak Park, Kinsealy, Malahide",Dublin,,"€594,713.66",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
23/03/2023,"18 CRONAN LAWN, SHANNON, CLARE",Clare,V14R880,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.70389,-8.86417
28/11/2023,"8 HAWTHORN COURT, KENNEDY PARK, LIMERICK",Limerick,V94C7VX,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
