Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
12/09/2018,"KILLURIN, KILLEIGH, TULLAMORE",Offaly,,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2148347,-7.5533468
01/10/2018,"4 WILLOWBROOK, LEASELANDS, MALLOW",Cork,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.13333,-8.63333
11/04/2018,"72 HILLCOURT RD, GLENAGEARY, DUBLIN",Dublin,,"€577,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
31/07/2018,"37 ROCKPARK AVE, TRALEE, KERRY",Kerry,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.27042,-9.70264
29/11/2018,"KEELAHANGIL, SKIBBEREEN, CORK",Cork,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.55,-9.26667
09/04/2018,"19 Glashaboy Woods, Upper Riverstown, Glanmire",Cork,,"€264,317.18",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,51.91583,-8.39972
23/11/2018,"KILTOGHERT, CARRICK ON SHANNON, CO LEITRIM",Leitrim,,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.94694,-8.09
16/10/2018,"93 Stoneleigh, Craddockstown, Naas",Kildare,,"€308,370.04",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.21583,-6.66694
15/05/2018,"25 DRUMCLIFFE DRIVE, DUBLIN, DBULIN 7",Dublin,,"€205,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
06/11/2018,"APT 2, MOUNT VERDE, BALLISODARE",Sligo,,"€19,545.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
02/08/2018,"21 St. Edmunds Grove, Loman&#039;s Road",Dublin,,"€420,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
11/05/2018,"19 Sprangers Yard, Crow Street",Dublin,,"€395,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
13/12/2018,"517 HOWTH RD, RAHENY, DUBLIN 5",Dublin,,"€655,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3800925,-6.1775774
14/02/2018,"4 LAKESIDE PARK, NAAS, KILDARE",Kildare,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2087519,-6.6629798
28/05/2018,"AUGHALOOR, LOUGHGLYNN, CASTLEREA",Roscommon,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.76667,-8.5
07/11/2018,"11 CLONARD RD, CRUMLIN, DUBLIN 12",Dublin,,"€408,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3243783,-6.306295
12/11/2018,"1 THE VILLAGE MOORINGS, BALTIMORE, CORK",Cork,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.48333,-9.36667
21/06/2018,"61 FORTUNES LAWN, CITYPARK, CITYWEST DUBLIN 24",Dublin,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
26/01/2018,"KILTILLANE, TEMPLEMORE, COUNTY TIPPERARY",Tipperary,,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.7944041,-7.8263783
17/05/2018,"1 ISOLDA ROAD, RINGSEND, DUBLIN 4",Dublin,,"€430,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
11/01/2018,"FARMHILL, CLAREMORRIS, CO. MAYO",Mayo,,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.6951731,-9.026273
11/12/2018,"12 ORMOND CRESCENT, MOUNTAIN VIEW, CARRICK ON SUIR",Tipperary,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
05/11/2018,"7 PORTOBELLO RD, DUBLIN 8, DUBLIN",Dublin,,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3300037,-6.2695462
15/01/2018,"CARRYBLAGH UPPER, PORTSALON, LETTERKENNY",Donegal,,"€67,500.00",No,No,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
14/02/2018,"2 MAUNSELLS COURT, 20 MAUNSELLS RD, TAYLORS HILL",Galway,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
06/09/2018,"100 CORRAN ARD, ATHY, KILDARE",Kildare,,"€158,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.9806782,-6.9970439
03/08/2018,"KILLACROY, KILLALLON, NAVAN",Meath,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.65278,-6.68139
15/11/2018,"NANTUCKET HEIGHTS, KILLARNEY RD, KENMARE",Kerry,,"€278,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.88333,-9.58333
06/11/2018,"RATHBRIDE, KILDARE",Kildare,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.1876875,-6.8741154
08/11/2018,"2 ST FINBARS TERRACE, CARRICKMACROSS, MONAGHAN",Monaghan,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.97278,-6.71889
23/04/2018,"56 Carton Wood, Dublin Road, Maynooth",Kildare,,"€348,017.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.385,-6.59361
20/09/2018,"GURTYCLOONA, BANTRY, COUNTY CORK",Cork,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.68333,-9.45
24/07/2018,"2 DENVILLE CT, CHURCH RD, KILLINEY",Dublin,,"€116,667.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
21/09/2018,"BALLYNALLY, MOVILLE, DONEGAL",Donegal,,"€140,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,55.20768,-7.0375411
20/11/2018,"25 Taylor Hill Green, Taylor Hill, Balbriggan",Dublin,,"€300,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.6102785,-6.2067946
14/08/2018,"YOLETOWN, TAGOAT, ROSELARE HARBOUR",Wexford,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.5,-6.66667
