Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
03/05/2017,"57 PALMBURY, TOGHER, CORK",Cork,,"€157,500.00",No,No,Second-Hand Dwelling house /Apartment,,51.8775,-8.49167
01/09/2017,"MULLAGHROE, CLOONLOO VIA BOYLE, CO SLIGO",Sligo,,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
23/01/2017,"12 COIS BRIDE, TALLOW, WATERFORD",Waterford,,"€88,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.094272,-8.0097279
02/06/2017,"115 GRIFFITH HALL, GRIFFITH AVE, DUBLIN",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/11/2017,"KNOCKROUR, AGHABULLOGUE, CORK",Cork,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.93333,-8.8
01/09/2017,"39 LOWER MIDLETON ST, COBH, CORK",Cork,,"€96,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.85722,-8.29917
26/07/2017,"10 Woodland Path, Kenagh",Longford,,"€43,750.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.72536,-7.79823
06/04/2017,"5 CRESTFIELD GREEN, HAZELWOOD, GLANMIRE",Cork,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.91583,-8.39972
08/11/2017,"APT 14 ROSEDALE, TYRCONNELL RD, INCHICORE DUBLIN 8",Dublin,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
15/11/2017,"8 ST ETCHENS COURT, KINNEGAD, WESTMEATH",Westmeath,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.45222,-7.09972
23/03/2017,"29 SOUTH STREET, NEW ROSS, CO. WEXFORD",Wexford,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.393998,-6.9450135
12/07/2017,"17 BLOCK C, CLARE INN SUITES, DROMOLAND",Clare,,"€46,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.81556,-8.96667
21/07/2017,"6G ARCHES HILL, BALBRIGGAN, DUBLIN",Dublin,,"€133,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
27/10/2017,"16 Fuchsia Avenue, Forest Hill, Kilnagleary",Cork,,"€373,127.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,51.89797,-8.47061
13/10/2017,"39 CHANEL AVE, ARTANE, DUBLIN 5",Dublin,,"€405,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3863412,-6.207875
11/01/2017,"37 PRIORY WAY, MANOR GROVE, TERENURE DUBLIN 12",Dublin,,"€536,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/03/2017,"12 FURRY PARK COURT, KILLESTER, DUBLIN 5",Dublin,,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3732383,-6.1990509
21/07/2017,"51 HAYFIELD, STRAFFAN ROAD, MAYNOOTH",Kildare,,"€252,725.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.385,-6.59361
18/08/2017,"94 THE OVAL TULLYVALE, CABINTEELY, DUBLIN 18",Dublin,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2479251,-6.1450886
09/10/2017,"40 Castleland Park drive, Balbriggan, County Dublin",Dublin,,"€214,602.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.5984457,-6.1806489
11/12/2017,"24 THE CLOISTERS, ABBEYDORNEY, KERRY",Kerry,,"€154,184.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.34999,-9.6861571
18/12/2017,"THE SCHOONER, BALLYDEVLIN, GOLEEN",Cork,,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.49389,-9.70917
24/05/2017,"16 Cluain Mara, Farm Lane, Kinsale",Cork,,"€272,544.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,51.7075,-8.53056
05/04/2017,"83 CHURCHWELL RD, BELMAYNE, BALGRIFFIN DUBLIN 13",Dublin,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
08/12/2017,"32 ELMCASTLE WALK, TALLAGHT, DUBLIN 24",Dublin,,"€337,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3026991,-6.3548898
29/03/2017,"712 PIER HEAD, ALLINS QUAY, YOUGHAL",Cork,,"€95,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,51.95,-7.85056
03/11/2017,"MOUNTARMSTRONG, DONADEA, NAAS",Kildare,,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.21583,-6.66694
06/01/2017,"14 FORT VIEW, ARDBRACK, KINSALE",Cork,,"€635,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.7075,-8.53056
15/12/2017,"110 DUNARAS, GALWAY, GALWAY",Galway,,"€141,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
26/05/2017,"43 CEOL NA MARA, KILL, WATERFORD",Waterford,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.1759288,-7.333775
28/07/2017,"119 SEVEN OAKS, SARSFIELDS RD, BALLYFERMOT DUBLIN 10",Dublin,,"€176,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/07/2017,"RIVERSTOWN, ARDEE, CO LOUTH",Louth,,"€62,120.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.8687018,-6.5262187
27/10/2017,"10 Woodland Park, Kenagh",Longford,,"€130,250.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.72536,-7.79823
